,end,ROTA,ROS,ROE,AssetTurnover
0,2008-06-28,0.02416597976444305,0.09767973665291192,,0.24740013223328688
1,2009-01-03,0.027946330263536646,0.09403184896582381,,0.2972006886059832
2,2009-04-04,0.02463890470966785,0.09356733280246471,,0.2633280651665516
3,2009-07-04,0.017820151573531975,0.0805970772133435,,0.2211017097600371
4,2009-10-03,0.046030025921763244,0.15182447657519368,,0.3031792169490279
5,2010-01-02,0.02127632296203982,0.07191303607816561,0.01753141618772101,0.29586183705154095
6,2010-04-03,0.03449518309671135,0.12758596451526077,0.04272939651613106,0.27036816492918647
7,2010-07-03,0.026804095022638745,0.10634437903675042,0.030374699397767834,0.25204994627290833
8,2010-10-02,0.052987423921510256,0.15882021190960088,0.061635614497838324,0.33363148987403596
9,2011-01-01,0.011386815693119811,0.03458265980447165,0.014043233496986314,0.3292637338336671
10,2011-04-02,0.04103351820924654,0.14020989391969263,0.04864929328686147,0.2926577936985611
11,2011-06-30,0.027743915619652004,0.10253173293307023,0.030301972715388707,0.2705885761022145
12,2011-10-01,0.04250577722331192,0.1564025074261719,0.06743950349095308,0.27177171212153556
13,2011-12-31,0.03772728941925622,0.1207320086082277,0.05685340514375747,0.3124878800093545
14,2012-03-31,0.03305182811433103,0.1228662346882695,0.048336284127944176,0.2690066005374755
15,2012-06-30,0.017396965797725435,0.076564605427433,0.03432697060069159,0.22721942731376144
16,2012-09-29,0.05299113715206837,0.17053101398381504,0.07739693885504215,0.31074193435041514
17,2012-12-29,0.046744214509653825,0.14845018231209986,0.06519556151688818,0.3148814894102276
18,2013-03-30,0.037690198386433685,0.13696245868380075,0.05313761423181085,0.27518634484685617
19,2013-06-29,0.02108305015295458,0.09067420400997833,0.026672932029875442,0.2325143119054508
20,2013-09-28,0.05546303260189545,0.1758130743958106,0.07705995352181261,0.31546591624369585
21,2013-12-28,0.04999194141492234,0.15451875460282502,0.060501020398424366,0.3235331629705508
22,2014-03-29,0.04037895467189683,0.14499179725961583,0.05164236852215765,0.2784913038880129
23,2014-06-28,0.021517470757421667,0.09150751266820867,0.02789169217358573,0.23514430815577417
24,2014-09-27,0.05853266069248575,0.17983000454203685,0.08026272695637934,0.3254888462108848
25,2015-01-03,0.018449818695214976,0.05075470960026377,0.021684169549281977,0.36350949183874537
26,2015-04-04,0.040771020674143024,0.1423209409971183,0.058868964054756424,0.2864723939323065
27,2015-07-04,0.02239765815699533,0.09022713769259484,0.03441137275008335,0.24823638131251013
28,2015-10-03,0.060834793731865504,0.18119851791662914,0.08577636673302623,0.33573560331136965
29,2016-01-02,0.05581541114712711,0.1617528174876491,0.05797927439971268,0.3450660830151474
30,2016-04-02,0.03099317013794281,0.12004129887401085,0.05318182914155571,0.25818756068669035
31,2016-07-02,0.019252627735807788,0.08347604408922003,0.010974656642652143,0.2306365610142041
32,2016-10-01,0.05696091077858136,0.18480269091313528,0.10230080301232747,0.30822554854114803
33,2016-12-31,0.02899863203538411,0.09297843684846602,0.053498730297448595,0.3118855620539779
34,2017-07-01,0.017405791843839277,0.07038463911981734,0.030153341936631033,0.247295319852518
35,2017-09-30,0.05292240743633908,0.16962516806987699,0.09806929410629295,0.31199619748961854
36,2017-12-30,0.04866384522491435,0.13279841546955937,-0.024266512540659695,0.36644899001877995
37,2018-03-31,0.014309723982694731,0.06763643764559629,0.06854295549790461,0.21156826824137767
38,2018-06-30,0.00751028723809464,0.03977456076399083,0.042978561910163075,0.18882137461324125
39,2018-09-29,0.045886477829912155,0.17014551463141622,0.12133370147451068,0.2696896120318856
40,2018-12-29,0.046336895717845925,0.1597370291995735,0.10777715047862822,0.2900823681899904
41,2019-03-30,0.012200697417200415,0.053601220662176145,0.029964759931101804,0.22761976810371173
42,2019-06-29,0.009225661615441085,0.04679726565281125,0.011855870993786995,0.1971410399036182
43,2019-09-28,0.04867300098355375,0.17251690222966654,0.13964161003731157,0.2821346798747688
44,2019-12-28,0.04993766564930644,0.17113003897997384,0.10180489054402869,0.29181122114481783
45,2020-03-28,-0.023062535821746947,-0.12212634862380084,-0.14409528512802122,0.18884160610409303
46,2020-06-27,-0.019777875630707317,-0.22931395075504532,-0.0980612497845566,0.08624802619110677
47,2020-09-26,0.02472308350666774,0.1226642088942938,0.08716511195360103,0.2015509147250354
48,2020-12-26,0.02997590062702897,0.13864826364502458,0.11065033360164223,0.21620105321892116
49,2021-07-03,0.014972601078746964,0.0924487265539241,0.09903543950421957,0.16195573088844709
50,2021-10-02,0.04021041843859139,0.1746231906035673,0.12895802423300276,0.23026963543392018
51,2022-01-01,0.05012011386844964,0.1871882228814607,0.1417312640280287,0.2677524958404506
52,2022-07-02,0.004795881364115723,0.02801651047159195,-0.016692055732853133,0.17118053902460936
53,2022-10-01,-0.006588658184165543,-0.02948094527040187,-0.03838171449905303,0.2234887017269555
54,2022-12-31,0.03605269980773822,0.14615736913166832,0.15298924700087238,0.2466704212174176
55,2023-07-01,-0.0006402780766422542,-0.004309948157918955,-0.021137287279015506,0.14855818519900957
56,2023-09-30,0.026672470802790855,0.12004254615302164,-0.20393114167358584,0.22219181163310797
57,2023-12-30,-0.0072319730536439895,-0.03281857309238132,-0.02012712919111717,0.22036220262491724
58,2024-06-29,-0.010659053007863975,-0.0695397555764078,-0.18653005789301141,0.1532799895471618
59,2024-09-28,0.022414984797421985,0.09931405523236841,0.03710126872999722,0.22569801167595963
60,2024-12-28,0.021392102610689825,0.07966972862954107,0.0998553769424424,0.2685097963639575
61,2025-06-28,-0.008532488606222927,-0.04919104475238347,-0.09007934020644084,0.17345613717239658
