,end,Interest Coverage,Debt to Equity,Financial Leverage
0,2008-06-28,7.122006345894728,,
1,2009-04-04,7.333545310015898,,
2,2009-07-04,5.487785874696366,,
3,2009-10-03,14.90696365767878,,
4,2010-04-03,10.891262988438461,-0.30870653656599023,1.6912934634340098
5,2010-07-03,8.271884453986532,-0.26673444918708933,1.7332655508129107
6,2010-10-02,17.246923189181302,-0.30134625685758315,1.698653743142417
7,2011-04-02,17.229799247176913,-0.3776204960990249,1.6223795039009752
8,2011-06-30,11.82001002380654,-0.4071259573891977,1.5928740426108023
9,2011-10-01,20.807798364858982,0.26944986006359095,2.269449860063591
10,2012-03-31,13.454786892268151,0.13439070826482272,2.1343907082648226
11,2012-06-30,6.950578561437714,0.08354567984629709,2.083545679846297
12,2012-09-29,22.519692965899083,0.05645954846000961,2.0564595484600097
13,2013-03-30,17.028179741051026,-0.1349410119170901,1.8650589880829098
14,2013-06-29,9.349586700102163,-0.15789699071595856,1.8421030092840414
15,2013-09-28,27.285277228654806,-0.14313565565564854,1.8568643443443515
16,2014-03-29,19.537238939768375,-0.2649090007713522,1.7350909992286478
17,2014-06-28,10.301246602305746,-0.19305465343844588,1.8069453465615541
18,2014-09-27,28.068366215916647,-0.15503039731439217,1.844969602685608
19,2015-04-04,17.911529131768045,-0.042784188864182504,1.9572158111358176
20,2015-07-04,9.57917760279965,-0.030354799100285164,1.9696452008997147
21,2015-10-03,28.857239543383116,-0.039036431602867794,1.9609635683971323
22,2016-04-02,13.833893226802251,0.009066507885456848,2.009066507885457
23,2016-07-02,7.882014388489209,0.0811528692332498,2.0811528692332497
24,2016-10-01,24.002299963684784,0.14315348311650625,2.143153483116506
25,2017-07-01,6.600909466721786,0.5172542949489606,2.5172542949489607
26,2017-09-30,21.230891249815553,0.7619408140355868,2.7619408140355866
27,2017-12-30,17.96815097697527,0.677088631414823,2.677088631414823
28,2018-03-31,6.048948468823023,0.7958355747789645,2.7958355747789647
29,2018-06-30,2.835030927071373,0.7315564565668824,2.7315564565668824
30,2018-09-29,18.044020491079316,0.6630639713883484,2.6630639713883486
31,2018-12-29,16.817581874647093,0.3913529757542161,2.391352975754216
32,2019-06-29,4.337009083924617,0.5055229122938694,2.5055229122938694
33,2019-09-28,26.3604997597309,0.4249739490263724,2.4249739490263726
34,2019-12-28,24.213738062144106,0.367607863227654,2.367607863227654
35,2020-06-27,-8.434454240995148,2.2845064784086233,4.284506478408623
36,2020-09-26,9.380713636496907,2.3939627289882854,4.393962728988286
37,2020-12-26,12.006382048666763,2.3797255983893817,4.379725598389382
38,2021-07-03,5.810464816564997,2.1387375802909565,4.1387375802909565
39,2021-10-02,15.561914846188142,1.8597083046985659,3.859708304698566
40,2022-01-01,19.95769841736777,1.7051300158756226,3.7051300158756226
41,2022-07-02,1.9469042863727146,1.9408741494762256,3.9408741494762256
42,2022-10-01,-2.6153026550711282,2.4671963899824867,4.467196389982487
43,2022-12-31,9.530751329787234,2.3117119608438528,4.311711960843852
44,2023-07-01,-0.16286019596834078,3.1693497003603186,5.169349700360319
45,2023-09-30,5.798633626679018,3.9466445253377196,5.946644525337719
46,2023-12-30,-1.3507527868658307,3.981659336058862,5.981659336058862
47,2024-06-29,-2.0769529469365704,6.315672182173852,8.315672182173852
48,2024-09-28,5.90741060259673,6.688797447607914,8.688797447607914
49,2024-12-28,5.2091966222140185,4.281415044368925,6.281415044368925
50,2025-06-28,-1.984715156514964,5.85470133090043,7.85470133090043
51,2025-09-27,6.300663079186569,5.202414309928917,7.202414309928917
