,Date,val,Close
0,4/3/2008,149032000,18.24
1,6/30/2008,103978000,16.84
2,10/3/2008,233875000,10.65493107
3,1/5/2009,115863000,8.481362343
4,4/6/2009,100939000,9.529787064
5,7/6/2009,75527000,8.357595444
6,10/5/2009,217920000,10.86702538
7,1/4/2010,66885000,11.35424042
8,4/5/2010,163516000,12.78953838
9,7/5/2010,110835000,18.67
10,10/4/2010,242787000,12.80104923
11,1/3/2011,54224000,13.78160191
12,4/4/2011,200703000,15.84290981
13,6/30/2011,129368000,17.55577469
14,10/3/2011,300700000,19.22581863
15,1/2/2012,257318000,30.94
16,4/2/2012,215216000,24.50378609
17,7/2/2012,155297000,21.78345299
18,10/1/2012,381318000,26.32486725
19,12/31/2012,334168000,25.19365501
20,4/1/2013,270417000,27.78390884
21,7/1/2013,138274000,32.873909
22,9/30/2013,433761000,33.703228
23,12/30/2013,367667000,42.22917557
24,3/31/2014,297193000,42.28568649
25,6/30/2014,157682000,43.22873306
26,9/29/2014,470529000,45.55978394
27,1/5/2015,122101000,50.60748291
28,4/6/2015,288709000,52.66261292
29,7/6/2015,170811000,49.54519272
30,10/5/2015,459864000,50.27253342
31,1/4/2016,312209000,42.92794037
32,4/4/2016,260269000,45.44525909
33,7/4/2016,51015000,58.76
34,10/3/2016,498489000,40.18460846
35,1/2/2017,264333000,48.45
36,4/3/2017,209163000,39.83360672
37,7/3/2017,109889000,42.38851547
38,10/2/2017,386140000,47.12414169
39,1/1/2018,-90269000,76.37
40,4/2/2018,252793000,54.77652359
41,7/2/2018,160358000,61.1865387
42,10/1/2018,507121000,70.72502899
43,12/31/2018,463509000,54.3557663
44,4/1/2019,128804000,66.93870544
45,7/1/2019,49221000,72.33975983
46,9/30/2019,649001000,73.23974609
47,12/30/2019,465003000,82.37628174
48,3/30/2020,-483776000,49.77804184
49,6/29/2020,-285613000,50.64336014
50,9/28/2020,256722000,60.15220642
51,12/28/2020,347240000,72.59976959
52,7/5/2021,324245000,80.2
53,10/4/2021,464053000,59.56334305
54,1/3/2022,517801000,64.24925995
55,7/4/2022,-55960000,44.68
56,10/3/2022,-118432000,28.13849449
57,1/2/2023,507868000,30.94
58,7/3/2023,-57425000,18.02705002
59,10/2/2023,-450697000,15.87347889
60,1/1/2024,-42452000,16.46
61,7/1/2024,-258886000,12.49878025
62,9/30/2024,52178000,19.51976585
63,12/30/2024,167780000,21.03700256
64,6/30/2025,-116408000,11.68061066
65,9/29/2025,189765000,14.44999981
