,end,CurrentRatio,Quick Ratio,Working Capital to Sales,InvDays,Debtor Days,Creditor Days
0,2008-06-28,2.126026482230606,1.119683746871691,0.896391138623246,292.4069766471414,216.31666092393243,103.8856631546568
1,2008-09-27,2.196514741135083,1.2470919619280505,,,,
2,2009-01-03,2.6210800033985984,1.4830485031348117,0.85810632011087,219.8790236121643,162.49662944852653,83.1075307899485
3,2009-04-04,2.3868598183943965,1.368767551383896,0.8826878875022168,236.51277561991662,210.79718094853936,68.43953603473597
4,2009-07-04,2.337865377349297,1.2939705150715752,1.0534598963272994,300.0234613165935,216.45267989421373,93.97262924927152
5,2009-10-03,2.1613356486110917,1.2970539246688515,0.7515863456308751,204.1593705434028,192.25776886683866,63.10692108055856
6,2010-01-02,2.402435140341799,1.5275960974238654,0.8023378262883026,182.68189314957064,147.90418974098463,71.11574323276612
7,2010-04-03,2.5005711903115557,1.6023430594481292,0.9090377106074191,198.61169257988695,164.29932012442003,61.83256385155773
8,2010-07-03,2.325567240752461,1.3361288034867072,0.9262940184580178,252.36477670214742,168.29706844722804,97.98832133913471
9,2010-10-02,2.492650006912761,1.4459655398866307,0.7738037697206598,198.05303294664364,179.66721869656737,78.82213363662873
10,2011-01-01,2.5472047590076388,1.5821591293179207,0.8073339826802161,183.80027362869367,132.71099580056617,87.7202750960734
11,2011-04-02,2.845193982520066,1.7039309598532473,0.976711750414412,220.49715667610613,166.26887700065194,80.04009855018305
12,2011-06-30,3.0041088297429566,1.735805995380279,1.104270747118535,255.07629109575828,176.37862523320453,90.47308794031703
13,2011-10-01,1.4795636359269284,0.8123242676850697,0.46465273078404157,235.96999132022412,205.42213819206847,88.50623311179966
14,2011-12-31,1.913495058918436,1.0409758035860055,0.5229508641730112,182.31506931217677,140.5004159452196,79.90661248096806
15,2012-03-31,1.7661595740211729,0.9698406780373047,0.5707172627720809,216.51184550481037,172.21321517491995,76.74643793847339
16,2012-06-30,1.8889905709093522,1.0008325608202082,0.7338594985680176,267.6078609160766,176.1846304906279,86.35822159636864
17,2012-09-29,1.6416499920766618,0.919646676590682,0.4964365506547231,203.8907918232829,186.95208194504175,62.06702137053203
18,2012-12-29,1.991432341999709,1.2096816094103955,0.5661799516032255,162.94932514852007,147.08792685097882,67.70368184725345
19,2013-03-30,1.9113562800516009,1.0848973847777648,0.5950631520953004,196.96496838087975,168.90928679807448,60.49884967431368
20,2013-06-29,2.0055409664184958,1.079425992125515,0.7446409696222906,250.3254059721376,174.37491077102393,91.35130162839222
21,2013-09-28,1.9924970554738983,1.139663009938384,0.6184645535441603,193.97375828299116,184.10328972249457,72.9647095823847
22,2013-12-28,2.4763900023022947,1.584131642773187,0.703620468563408,155.2104146410184,150.9260648387784,70.86023247324776
23,2014-03-29,2.2928610675217462,1.3117215135842049,0.7167015849521249,198.52269221059717,172.00971095139562,61.37346095229465
24,2014-06-28,2.0209931541273063,1.1573754066140411,0.7949740141444317,245.43953854915497,179.1321382004566,81.62734234886823
25,2014-09-27,1.9961424730352555,1.192180555028551,0.6413205482144739,188.92178464836994,182.9574880689867,69.9788265524236
26,2015-01-03,2.4977736336516805,1.5790968765198428,0.6754955488619281,151.22789379858392,130.15925741716637,70.45744454938165
27,2015-04-04,1.7287165009362904,1.01390814891749,0.6021742229514969,215.59865137517255,170.33237761495167,60.76032706806839
28,2015-07-04,1.6547496099582895,0.9694518352574847,0.6608876194588679,252.4785886692383,175.9815466591072,74.45967755891463
29,2015-10-03,1.718032005437929,1.0081237704894424,0.5650326691836473,203.9035722198329,190.34471215930526,59.0936603481502
30,2016-01-02,2.144053214867491,1.3430285526233794,0.667840250321756,170.67311551436305,141.55040211599808,74.68441162031206
31,2016-04-02,1.5706368179541381,0.9326541915747468,0.5685910324245795,232.02882097308404,175.7247117272415,58.68542422342044
32,2016-07-02,1.5289654755090236,0.9020864583728759,0.6307731748299011,272.8490751401822,183.39180477975333,78.65304277557891
33,2016-10-01,2.2134079798052175,1.3418530072625523,0.8207406224554055,215.1724833192651,196.91303183482958,62.41574353189495
34,2016-12-31,2.4045580822224712,1.606657891788955,0.825567901425593,171.180593986653,138.0427882008584,74.52431455291332
35,2017-07-01,1.603217087600359,0.9191553108969731,0.6464313106646331,267.56970316756446,183.99033112641166,79.23548236372773
36,2017-09-30,1.4726106565795998,0.9902080261265847,0.5322921106039787,198.31202581600468,195.27266666548775,57.27169022444881
37,2017-12-30,1.5953369046317554,0.9734175139389963,0.4476671170747788,170.69443093341897,143.02669592903592,76.1146518370869
38,2018-03-31,1.4920605741822826,0.8990238079232733,0.707981404013484,311.4424197335284,235.67426723983817,97.54387943229251
39,2018-06-30,1.4455236356789858,0.9375514929448824,0.693502617150821,288.60916348345813,231.9515168458461,107.34095865717534
40,2018-09-29,1.5441503054126091,1.0530684334008988,0.6360461862374074,209.51568579766538,238.48176070038912,73.39190175097276
41,2018-12-29,1.7994562721635616,1.252598957412798,0.6868387559133402,171.4853281453372,191.62146108818533,65.62812552689189
42,2019-03-30,1.7558799130148588,1.315129899113467,0.8534170353977608,181.6325593055766,212.52490552127358,75.80525907892945
43,2019-06-29,2.049593122237943,1.3400861260974402,0.9966137632189536,245.89825733644,215.61007122605764,90.34428772479413
44,2019-09-28,1.9860797441956997,1.3247638227237601,0.7456130309287687,182.5169887142355,215.96030578427667,55.4666597269352
45,2019-12-28,2.117993447809787,1.4786452419152618,0.6951199455719023,145.09445220635652,178.11192395530279,45.07949050027521
46,2020-03-28,1.6624367865963112,1.2345394201629427,0.9527739686770632,224.63525621176728,227.08991919315872,70.66266223558459
47,2020-06-27,3.6498234004464103,2.8320511721908312,4.22345402227832,475.74700383631597,317.07830488537974,118.33225710842679
48,2020-09-26,3.2046550496706216,2.5163264464157904,1.7619260490644568,200.78705521246593,224.8052139994878,62.9867244253398
49,2020-12-26,2.9163938842836914,2.4856600599754284,1.6110146217063805,132.16502649635325,173.3851981177443,50.64653659498557
50,2021-04-03,2.165084730580775,1.6847182757386754,,,,
51,2021-07-03,1.4859899864754256,1.0898189321902452,0.6801791887838867,202.38187934968195,189.40770961975468,88.94874683136506
52,2021-10-02,1.4684793159130294,1.0356908903147266,0.4957437461599914,167.1611404415248,203.9799498786049,60.984644655567834
